participant_id,pc1,pc2,neighborhood,neighborhood_label,song_title,song_artist
e6381a31,0.4323968127090376,0.8167987908131601,1,Relaxed / Happy Relaxed / Happy,Slide,Frank Ocean
efd3b5bf,-0.12641580080226214,0.007731138487595899,0,Nostalgic / Calm / At,boys donât cry,lil tecca
cbef372e,-0.14219600248455924,0.016002787605666324,0,Nostalgic / Calm / At,Get you,Daniel Caesar
cbef372e,-0.11743125592953572,0.0189804670590179,0,Nostalgic / Calm / At,The Weight,The Band
8f89b9ea,0.14032687271504274,-0.16969470037515788,2,Happy / Happy Because / Energetic,tn,morgan wallen
7115d98a,-0.11074207232848277,0.024813739487013903,0,Nostalgic / Calm / At,The Ride,Drake
96ada47a,0.4323968127090376,0.8167987908131601,1,Relaxed / Happy Relaxed / Happy,Goddess,Laufey
8a388087,-0.0815490504515062,0.020359777941531494,0,Nostalgic / Calm / At,The Hills,The Weeknd
19437760,-0.1331354949365593,0.025191605027268832,0,Nostalgic / Calm / At,Monday Morning Faith,SEU worship
c083638f,-0.1577745207907884,0.015155209837744757,0,Nostalgic / Calm / At,Carolina in my mind,James Taylor
327a6411,0.4323968127090376,0.8167987908131601,1,Relaxed / Happy Relaxed / Happy,Lighthouse,Noah Kahan
b5211f62,-0.1023190810224796,0.02469473363003159,0,Nostalgic / Calm / At,Breakfast at Tiffanyâs,Deep Blue Something
9c31cd1a,0.14300562037990214,-0.16751858112766466,2,Happy / Happy Because / Energetic,The chain,Fleetwood Mac
